0 5 564  1 0 0 0 1
1 5 1766  1 1 1 1 0
2 5 1473  0 1 1 1 1
3 5 1160  0 1 1 0 1
4 5 809  1 1 1 1 0
5 5 1054  1 1 0 1 1
6 5 762  1 0 1 0 1
7 5 1398  0 1 1 1 1
8 5 1280  1 1 0 1 1
9 5 761  0 0 1 1 0
10 5 586  1 0 0 1 0
11 5 327  1 0 0 0 1
12 5 1461  1 1 0 1 1
13 5 923  1 0 0 1 0
14 5 1327  1 1 1 1 0
15 5 917  1 1 1 0 1
16 5 1391  1 1 0 1 1
17 5 891  1 1 0 0 0
18 5 864  1 1 0 1 0
19 5 842  0 1 1 1 1
20 5 858  1 0 1 0 0
21 5 317  0 0 0 1 0
22 5 1580  1 1 1 1 1
23 5 886  0 1 1 0 0
24 5 942  1 0 1 1 1
25 5 1422  1 1 1 1 1
26 5 178  0 0 0 0 1
27 5 693  1 1 0 1 0
28 5 1001  1 1 0 1 1
29 5 475  0 1 0 0 0
30 5 1479  1 0 1 1 1
31 5 1321  1 1 1 1 1
32 5 869  1 1 1 0 0
33 5 1021  1 1 1 1 1
34 5 1698  1 1 1 1 1
35 5 1552  1 1 1 1 1
36 5 912  0 1 1 1 1
37 5 843  1 1 1 1 1
38 5 378  1 1 1 0 0
39 5 624  0 0 0 1 1
40 5 1152  1 1 1 1 1
41 5 732  1 1 0 1 0
42 5 397  1 0 0 0 1
43 5 614  0 0 1 0 1
44 5 1145  1 0 1 1 1
45 5 500  0 0 0 1 1
46 5 546  0 1 1 0 0
47 5 720  1 1 1 0 0
48 5 1139  1 0 1 0 1
49 5 1649  1 1 1 1 1
50 5 491  1 0 1 0 0
51 5 744  1 0 0 1 1
52 5 862  1 1 1 1 1
53 5 1521  1 1 1 1 1
54 5 302  0 0 1 0 0
55 5 1151  1 1 0 0 1
56 5 1295  1 1 1 1 1
57 5 649  0 1 0 0 1
58 5 791  1 1 1 0 0
59 5 807  1 1 1 1 0
60 5 1221  1 1 1 1 1
61 5 809  1 1 1 0 1
62 5 849  1 0 1 0 0
63 5 978  0 1 1 1 1
64 5 782  0 1 0 1 1
65 5 732  0 1 0 1 0
66 5 789  0 1 1 0 0
67 5 1179  1 0 1 1 1
68 5 1009  1 1 1 0 0
69 5 599  0 1 1 1 0
70 5 1301  0 0 1 1 1
71 5 1373  1 1 1 1 1
72 5 938  1 1 0 0 0
73 5 1196  1 1 1 1 1
74 5 1440  1 1 1 1 1
75 5 708  0 1 1 0 0
76 5 1149  1 0 1 0 1
77 5 758  0 0 1 1 0
78 5 1177  1 1 1 1 1
79 5 1221  1 1 1 0 0
80 5 867  1 1 0 1 0
81 5 1256  1 0 1 0 1
82 5 413  0 1 0 0 0
83 5 1146  1 1 1 1 0
84 5 577  1 0 1 1 0
85 5 648  0 0 1 0 1
86 5 704  1 0 0 1 1
87 5 909  0 0 1 1 1
88 5 1188  1 1 1 0 1
89 5 1493  1 0 1 1 1
90 5 941  1 1 1 0 1
91 5 802  1 1 0 0 0
92 5 1400  1 0 1 1 1
93 5 896  1 0 0 1 1
94 5 587  0 1 0 1 1
95 5 396  0 1 0 0 0
96 5 1079  0 1 1 1 1
97 5 680  1 0 1 0 1
98 5 751  0 0 1 1 1
99 5 661  1 0 1 1 0
100 5 908  1 0 1 0 1
101 5 848  1 1 0 1 1
102 5 640  1 1 1 0 1
103 5 590  0 1 1 1 0
104 5 1252  1 1 0 1 0
105 5 875  1 1 1 1 1
106 5 926  0 1 0 1 1
107 5 534  0 0 1 1 0
108 5 1108  1 1 1 0 1
109 5 549  1 0 1 0 0
110 5 472  0 0 1 0 0
111 5 850  0 0 1 1 0
112 5 1208  0 1 1 1 1
113 5 1648  0 1 1 1 1
114 5 1178  0 1 0 1 1
115 5 381  0 0 0 1 0
116 5 912  1 1 1 1 1
117 5 601  1 1 1 1 1
118 5 1163  1 1 0 1 1
119 5 1216  1 1 1 0 1
120 5 822  1 0 1 1 0
121 5 1492  1 1 1 1 0
122 5 1202  1 1 1 1 1
123 5 1100  0 1 1 1 1
124 5 1864  1 1 1 1 1
125 5 777  1 0 1 1 0
126 5 1610  0 1 1 1 1
127 5 1294  0 1 1 1 1
128 5 909  1 1 1 1 1
129 5 1320  1 1 1 1 1
130 5 1198  1 0 0 1 1
131 5 755  1 1 1 1 1
132 5 877  1 0 1 1 0
133 5 910  1 1 1 1 0
134 5 561  0 1 0 1 0
135 5 769  1 1 1 1 1
136 5 690  1 0 0 1 0
137 5 689  1 1 1 1 1
138 5 1086  1 1 1 1 1
139 5 822  1 0 1 0 1
140 5 986  1 1 1 0 1
141 5 852  1 1 1 1 1
142 5 849  1 1 1 0 1
143 5 1140  1 1 1 0 1
144 5 594  1 1 0 1 1
145 5 502  1 0 1 0 1
146 5 1127  1 0 1 1 1
147 5 1170  1 1 0 1 0
148 5 784  1 1 0 0 1
149 5 480  0 0 1 0 0
150 5 952  1 1 0 1 0
151 5 1215  1 0 1 1 1
152 5 1213  1 0 1 1 1
153 5 1177  1 1 1 1 1
154 5 910  0 1 1 1 1
155 5 550  1 0 0 0 1
156 5 1149  1 1 0 1 1
157 5 1195  0 1 1 1 1
158 5 1558  1 1 1 1 1
159 5 1166  1 0 1 1 1
160 5 1372  1 1 1 0 1
161 5 747  0 0 1 1 0
162 5 331  0 1 1 0 1
163 5 864  1 1 1 1 0
164 5 1051  0 1 0 1 1
165 5 1062  1 1 0 0 1
166 5 1005  1 1 1 1 1
167 5 733  1 0 1 0 1
168 5 392  0 0 1 0 1
169 5 620  0 1 1 0 1
170 5 736  1 0 1 0 0
171 5 1103  1 0 1 1 1
172 5 837  1 0 1 1 1
173 5 346  0 0 0 1 0
174 5 848  1 1 0 0 1
175 5 481  0 0 0 1 0
176 5 749  1 1 1 1 1
177 5 783  1 1 0 1 0
178 5 743  0 0 0 1 1
179 5 959  1 0 1 1 1
180 5 816  1 0 1 0 0
181 5 678  0 0 1 1 0
182 5 841  1 1 1 0 0
183 5 818  0 1 1 1 1
184 5 807  1 0 0 1 1
185 5 895  1 1 1 1 0
186 5 1441  1 1 1 1 1
187 5 508  1 0 0 0 1
188 5 953  1 0 1 0 1
189 5 439  0 0 1 1 1
190 5 1103  1 0 1 1 0
191 5 744  0 0 0 1 1
192 5 1360  1 1 1 0 0
193 5 1232  1 1 0 1 1
194 5 1343  1 1 1 1 1
195 5 1397  1 1 1 1 1
196 5 642  1 1 1 1 1
197 5 491  0 0 0 0 1
198 5 962  1 1 0 1 1
199 5 702  0 0 1 1 1
200 5 1066  1 1 1 1 1
201 5 660  0 1 1 1 1
202 5 1008  1 1 1 1 0
203 5 1553  0 1 1 1 1
204 5 640  1 1 0 0 0
205 5 1551  1 1 1 1 1
206 5 950  1 0 1 1 1
207 5 841  1 0 1 0 0
208 5 940  0 0 1 1 1
209 5 1558  1 1 1 1 1
210 5 1088  1 1 1 1 1
211 5 1309  0 1 1 1 1
212 5 1072  0 1 1 1 1
213 5 1353  1 1 1 1 0
214 5 899  1 0 0 1 1
215 5 1078  1 0 0 1 1
216 5 842  1 1 1 1 1
217 5 1447  1 1 1 1 1
218 5 729  1 1 1 1 1
219 5 810  1 0 0 0 1
220 5 328  0 1 0 0 0
221 5 1161  1 0 1 1 1
222 5 1293  0 1 1 1 1
223 5 1433  0 1 1 1 1
224 5 792  0 0 1 1 0
225 5 804  1 1 0 1 0
226 5 494  0 1 0 1 0
227 5 813  0 1 0 1 1
228 5 827  0 0 0 1 1
229 5 1477  1 1 1 0 1
230 5 1248  1 1 0 1 1
231 5 880  1 0 1 1 0
232 5 1114  0 1 1 0 1
233 5 945  0 1 0 1 1
234 5 1260  0 1 1 0 1
235 5 1298  1 1 0 1 0
236 5 1342  1 0 1 1 1
237 5 720  0 0 1 1 1
238 5 1152  1 1 1 1 0
239 5 1371  1 1 1 1 1
240 5 987  0 1 1 1 0
241 5 700  0 1 1 0 1
242 5 1161  1 1 1 1 1
243 5 1228  1 0 1 1 1
244 5 379  0 0 1 0 0
245 5 473  1 1 1 0 1
246 5 824  0 1 1 0 0
247 5 788  1 1 0 1 1
248 5 1094  1 1 0 1 1
249 5 1186  1 1 0 1 0
250 5 905  0 0 1 1 1
251 5 696  1 0 0 1 0
252 5 489  0 0 0 1 0
253 5 901  0 1 1 1 0
254 5 1160  1 0 1 1 1
255 5 872  1 0 1 1 0
256 5 502  1 0 1 0 1
257 5 1303  1 1 1 1 1
258 5 634  0 0 0 1 1
259 5 963  1 1 0 1 1
260 5 828  1 1 1 1 1
261 5 1239  1 1 1 1 0
262 5 265  0 1 0 1 0
263 5 855  1 1 1 0 1
264 5 1403  1 1 1 1 1
265 5 775  0 0 1 1 1
266 5 1291  1 1 1 0 1
267 5 630  1 0 1 1 1
268 5 831  1 1 1 0 0
269 5 1556  1 1 1 1 1
270 5 1824  1 1 1 1 1
271 5 319  1 0 0 0 0
272 5 1185  1 0 1 1 0
273 5 1531  1 1 1 1 1
274 5 984  0 1 0 1 1
275 5 1110  1 1 1 1 1
276 5 1136  1 0 1 1 0
277 5 492  0 0 0 1 0
278 5 686  1 0 1 1 0
279 5 1188  1 1 0 1 1
280 5 1163  1 1 1 1 1
281 5 1506  1 1 0 1 1
282 5 1302  1 0 1 1 1
283 5 1199  1 0 1 1 1
284 5 892  1 1 1 0 0
285 5 609  1 0 1 0 0
286 5 660  0 1 1 0 1
287 5 952  0 1 1 1 1
288 5 966  1 1 1 1 1
289 5 1183  1 1 0 1 1
290 5 668  1 0 0 1 1
291 5 1520  1 1 0 1 1
292 5 866  1 0 0 1 0
293 5 508  1 1 1 0 1
294 5 470  0 0 1 0 0
295 5 618  0 1 1 1 1
296 5 396  0 0 1 0 0
297 5 857  1 1 1 1 0
