0 1860 1268 instance/dat/20//uf20-010.3sat.cnf
1 2191 1629 instance/dat/20//uf20-011.3sat.cnf
2 2205 1644 instance/dat/20//uf20-012.3sat.cnf
3 2062 1279 instance/dat/20//uf20-013.3sat.cnf
4 2169 1449 instance/dat/20//uf20-01.3sat.cnf
5 1976 1182 instance/dat/20//uf20-014.3sat.cnf
6 2392 1864 instance/dat/20//uf20-015.3sat.cnf
7 1907 1322 instance/dat/20//uf20-016.3sat.cnf
8 1890 1351 instance/dat/20//uf20-017.3sat.cnf
9 2766 1815 instance/dat/20//uf20-018.3sat.cnf
10 1763 1096 instance/dat/20//uf20-019.3sat.cnf
11 2179 1371 instance/dat/20//uf20-020.3sat.cnf
12 2020 1436 instance/dat/20//uf20-021.3sat.cnf
13 1857 1534 instance/dat/20//uf20-022.3sat.cnf
14 1825 829 instance/dat/20//uf20-023.3sat.cnf
15 1894 1238 instance/dat/20//uf20-02.3sat.cnf
16 1758 1470 instance/dat/20//uf20-024.3sat.cnf
17 1333 1156 instance/dat/20//uf20-025.3sat.cnf
18 1925 1004 instance/dat/20//uf20-026.3sat.cnf
19 2368 1701 instance/dat/20//uf20-027.3sat.cnf
20 1715 1175 instance/dat/20//uf20-028.3sat.cnf
21 1854 1074 instance/dat/20//uf20-029.3sat.cnf
22 1678 1420 instance/dat/20//uf20-030.3sat.cnf
23 1941 1309 instance/dat/20//uf20-031.3sat.cnf
24 2269 1645 instance/dat/20//uf20-032.3sat.cnf
25 1720 1150 instance/dat/20//uf20-033.3sat.cnf
26 2505 2029 instance/dat/20//uf20-03.3sat.cnf
27 2041 1323 instance/dat/20//uf20-034.3sat.cnf
28 2060 1246 instance/dat/20//uf20-035.3sat.cnf
29 2327 1475 instance/dat/20//uf20-036.3sat.cnf
30 2079 1617 instance/dat/20//uf20-037.3sat.cnf
31 1496 1164 instance/dat/20//uf20-038.3sat.cnf
32 1795 1289 instance/dat/20//uf20-039.3sat.cnf
33 2257 1578 instance/dat/20//uf20-040.3sat.cnf
34 1569 944 instance/dat/20//uf20-041.3sat.cnf
35 1648 1190 instance/dat/20//uf20-042.3sat.cnf
36 2203 1289 instance/dat/20//uf20-043.3sat.cnf
37 2144 1587 instance/dat/20//uf20-04.3sat.cnf
38 1458 948 instance/dat/20//uf20-044.3sat.cnf
39 1596 1156 instance/dat/20//uf20-045.3sat.cnf
40 2160 1803 instance/dat/20//uf20-046.3sat.cnf
41 1640 1357 instance/dat/20//uf20-047.3sat.cnf
42 2069 1271 instance/dat/20//uf20-048.3sat.cnf
43 2226 887 instance/dat/20//uf20-049.3sat.cnf
44 2176 1542 instance/dat/20//uf20-050.3sat.cnf
45 1702 1068 instance/dat/20//uf20-05.3sat.cnf
46 1792 1555 instance/dat/20//uf20-06.3sat.cnf
47 1939 1355 instance/dat/20//uf20-07.3sat.cnf
48 2418 1782 instance/dat/20//uf20-08.3sat.cnf
49 1992 1578 instance/dat/20//uf20-09.3sat.cnf
