0 7939 4743
1 7739 4290
2 7498 3922
3 6917 0
4 8334 4956
5 7625 4150
6 7306 0
7 6914 4004
8 6635 3303
9 7189 4015
10 7290 3511
11 7037 3771
12 7190 5013
13 8336 5392
14 7794 4788
15 7066 3306
16 7363 3665
17 7486 5138
18 7381 3462
19 7311 3258
20 6964 0
21 7388 3662
22 7635 4939
23 7408 3118
24 7424 4551
25 9012 0
26 6585 3335
27 6997 3578
28 8058 5345
29 6970 4036
30 7837 4697
31 7865 0
32 8508 4930
33 8110 3812
34 8022 0
35 8066 4512
36 7770 4397
37 7692 5261
38 7024 3961
39 7487 3801
40 7537 0
41 8420 4656
42 7532 4577
43 7223 4403
44 6819 0
45 7973 5000
46 8050 4911
47 7162 3453
48 7773 4115
49 8002 4134
50 7226 0
51 8405 4623
52 7103 3033
53 7514 4766
54 7828 5315
55 6403 4034
56 7540 4584
57 7426 3708
58 8037 4158
59 7805 4889
60 6765 3231
61 6664 3495
62 7185 4072
63 8242 4252
64 7467 5061
65 8508 4779
66 7590 4257
67 7039 4319
68 7596 4773
69 8550 4311
70 7833 3965
71 7300 3499
72 7333 4442
73 7791 3526
74 7288 4432
75 8440 4444
76 7703 3917
77 7766 4370
78 7608 4287
79 7451 3474
80 7162 4097
81 7411 4136
82 7121 3920
83 8530 4256
84 6687 0
85 7406 4788
86 7810 4679
87 6973 3331
88 6789 3453
89 7739 3075
90 6515 3230
91 7786 4629
92 7769 4775
93 7816 3874
94 6432 3101
95 7135 0
96 7306 4845
97 7864 4495
98 6190 3001
99 6595 3562
