10 50 4.36091e-05 7.56188e-06 0.00103098 0.0137615
15 50 0.000150742 1.95351e-05 0.000877115 0.00538721
20 50 0.000293638 4.33199e-05 0.000301101 0.00342612
22 50 0.000351983 5.53165e-05 0.000191077 0.00384246
25 50 0.00047296 8.52604e-05 0.000221235 0.00342679
27 50 0.000534042 9.82469e-05 0.000137046 0.00142602
30 50 0.00070919 0.000142606 0.000239891 0.00168634
32 50 0.000780818 0.000162909 0.000107479 0.0013048
35 50 0.000968315 0.000225142 9.30987e-05 0.0010923
37 50 0.00101552 0.000245085 5.86059e-05 0.000831255
40 50 0.00127256 0.000333008 6.19779e-05 0.000711744
4 50 6.69428e-06 8.8118e-07 0.0103066 0.0995671
