100 500 0.013283 0.0132749 0 0
10 500 7.38653e-05 7.31465e-05 0 0
150 500 0.0299441 0.0299749 0 0
15 500 0.000243599 0.000236737 0 0
200 500 0.0520649 0.0519178 0 0
20 500 0.000497667 0.000506788 0 0
22 500 0.000607735 0.000618314 0 0
25 500 0.000815494 0.000810362 0 0
27 500 0.000954907 0.0009567 0 0
30 500 0.00118458 0.00118304 0 0
32 500 0.00139535 0.00137685 0 0
35 500 0.00163083 0.00165558 0 0
37 500 0.0019403 0.00191115 0 0
40 500 0.00225743 0.0022299 0 0
500 500 0.307794 0.308469 0 0
50 500 0.00338591 0.00336463 0 0
5 500 1.60587e-05 1.57897e-05 0 0
75 500 0.00766199 0.00766905 0 0
