10 50 4.34462e-05 4.76294e-06 0.208908 0.362385
15 50 0.000145513 1.37597e-05 0.167259 0.278679
20 50 0.00029577 2.90713e-05 0.127287 0.266004
22 50 0.00039673 3.70276e-05 0.106879 0.196444
25 50 0.000463086 5.73342e-05 0.105902 0.180991
27 50 0.00056689 6.8789e-05 0.0986647 0.182711
30 50 0.000674427 9.41934e-05 0.0855239 0.17729
32 50 0.000758464 0.000109688 0.0843114 0.156673
35 50 0.000873847 0.000139649 0.0816933 0.139133
37 50 0.000989627 0.000162289 0.0792959 0.153594
40 50 0.00114815 0.000204241 0.0716792 0.132738
4 50 6.25922e-06 6.3902e-07 0.253103 0.727679
